,target,output,question
152,garden,"Answer: In the kitchen. Question: Where was the apple after the
bathroom? Answer",Where was the apple before the bathroom? 
153,bathroom,"Answer: In the
kitchen. Question: Where was the milk after the kitchen? Answer:",Where was the milk before the kitchen? 
154,bathroom,"Answer: In the
kitchen. Question: Where was the milk after the kitchen? Answer:",Where was the milk before the kitchen? 
155,bathroom,"Answer: In the
house of M. Joshua Van Dael, near Batavia. Question:",Where was the apple before the office? 
156,bathroom,Answer: In the garden. Question: Where was the apple before the office? Answer: In the,Where was the apple before the office? 
157,bedroom,"Answer: In the
kitchen. Question: Where was the apple after the bathroom? Answer:",Where was the apple before the bathroom? 
158,bedroom,Answer: In the kitchen. Question: Where was the apple after the bathroom? Answer: In the,Where was the apple before the bathroom? 
159,garden,"Answer: In the pocketbook. Question: Where was the pocketbook before the
apple? Answer",Where was the apple before the hallway? 
160,office,"Answer: The
field. The field is the place where the grass grows. The grass is the",Where was the football before the kitchen? 
161,office,"Answer: In the apple-tree.

Question: Where was the apple before the apple-",Where was the apple before the bedroom? 
162,office,"Answer: In the
kitchen. The original plant was a double one. The original plant was",Where was the football before the kitchen? 
163,garden,Answer: In the milk-house. Question: Where was the milk-house before the office?,Where was the milk before the office? 
164,bathroom,"Answer: In the kitchen.

Question: Where was the milk after the bedroom? Answer:",Where was the milk before the bedroom? 
165,kitchen,"Answer: In the cellar.

Question: Where was the milk after the office?",Where was the milk before the office? 
166,kitchen,"Answer: In the
bathroom. Question: Where was the milk after the office? Answer",Where was the milk before the office? 
167,kitchen,"Answer: In the
kitchen. Question: Where was the milk before the office? Answer:",Where was the milk before the office? 
168,kitchen,"Answer: In the
kitchen. Question: Where was the garden before the milk? Answer:",Where was the milk before the garden? 
169,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the kitchen?",Where was the milk before the kitchen? 
170,bathroom,"Answer: In the kitchen.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
171,bathroom,"Answer: In the kitchen.

Question: Where was the football after the kitchen?",Where was the football before the kitchen? 
172,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the office? Answer:",Where was the football before the office? 
173,bathroom,"Answer: In the
hiding-place of the football. Question: Where was the football before",Where was the football before the office? 
174,bathroom,Answer: In the refrigerator. Question: Where was the milk before the office? Answer: In the,Where was the milk before the office? 
175,office,"Answer: In the bedroom.

Question: Where was the football after the bedroom?",Where was the football before the bedroom? 
176,bedroom,"Answer: In the
cave. Question: Where was the football before the garden? Answer:",Where was the football before the garden? 
177,kitchen,Answer: In the garden. Question: Where was the football after the garden? Answer: In the,Where was the football before the garden? 
178,kitchen,"Answer: In the
garden. Question: Where was the football after the garden? Answer:",Where was the football before the garden? 
179,hallway,"Answer: In the
kitchen. Question: Where was the kitchen before the bedroom? Answer:",Where was the football before the bedroom? 
180,garden,Answer: In the kitchen. Question: Where was the kitchen before the bedroom? Answer: In the,Where was the milk before the bedroom? 
181,bathroom,Answer: In the kitchen. Question: Where was the kitchen before the office? Answer: In the,Where was the football before the office? 
182,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the office? Answer:",Where was the football before the office? 
183,bathroom,Answer: In the kitchen. Question: Where was the kitchen before the office? Answer: In the,Where was the football before the office? 
184,garden,"Answer: In the kitchen.
Question: Where was the kitchen before the bathroom? Answer: In",Where was the apple before the bathroom? 
185,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the hall? Answer:",Where was the football before the hallway? 
186,bedroom,"Answer: In the
kitchen. Question: Where was the milk after the bathroom? Answer:",Where was the milk before the bathroom? 
187,kitchen,Answer: In the garden. Question: Where was the garden before the office? Answer: In the,Where was the apple before the office? 
188,garden,"Answer: In the
milk-pit. Question: Where was the milk-pit before the",Where was the milk before the office? 
189,garden,Answer: In the kitchen. Question: Where was the water before the kitchen? Answer: In the,Where was the milk before the office? 
190,kitchen,"Answer: In the
saddle-bag. Question: Where was the saddle-bag before",Where was the football before the bathroom? 
191,hallway,Answer: In the kitchen. Question: Where was the milk before the house? Answer: In the,Where was the milk before the kitchen? 
192,bedroom,"Answer: In the kitchen. Question: Where was the
<context>before the bathroom? Answer",Where was the football before the bathroom? 
193,hallway,Answer: In the kitchen. Question: Where was the milk after the kitchen? Answer: In the,Where was the milk before the kitchen? 
194,hallway,"Answer: In the
kitchen. Question: Where was the milk after the kitchen? Answer:",Where was the milk before the kitchen? 
195,hallway,"Answer: In the
cabaret. Question: Where was the apple before the cafe? Answer",Where was the apple before the office? 
196,bathroom,"Answer: In the kitchen.
Question: Where was the kitchen before the office? Answer: In",Where was the apple before the office? 
197,bedroom,"Answer: In the
kitchen. Question: Where was the kitchen before the bathroom? Answer:",Where was the apple before the bathroom? 
198,bathroom,"_The question is answered by the officer._

BLUMENFELD",Where was the apple before the office? 
199,kitchen,"Answer: In the
kitchen. Question: Where was the milk before the garden? Answer:",Where was the milk before the garden? 
200,garden,Answer: In the kitchen. Question: Where was the kitchen before the bedroom? Answer: In the,Where was the milk before the bedroom? 
201,bedroom,Answer: In the kitchen. Question: Where was the kitchen before the garden? Answer: In the,Where was the milk before the garden? 
202,bedroom,Answer: In the kitchen. Question: Where was the milk after the garden? Answer: In the,Where was the milk before the garden? 
203,bedroom,Answer: In the kitchen. Question: Where was the milk before the kitchen? Answer: In the,Where was the milk before the garden? 
204,bathroom,Answer: In the kitchen. Question: Where was the kitchen before the bedroom? Answer: In the,Where was the football before the bedroom? 
205,bedroom,"Answer: In the garden.
Question: Where was the apple after the garden? Answer: In",Where was the apple before the garden? 
206,kitchen,Answer: In the garden. Question: Where was the apple before the garden? Answer: In the,Where was the apple before the hallway? 
207,kitchen,"Answer: In the kitchen.
Question: Where was the kitchen? Answer: In the kitchen.",Where was the apple before the hallway? 
208,kitchen,Answer: In the kitchen. Question: Where was the milk before the office? Answer: In the,Where was the milk before the office? 
209,garden,"Answer: In the kitchen.

</context>

<context>",Where was the milk before the kitchen? 
210,bathroom,"Answer: In the hall.

Question: Where was the hall before the kitchen?",Where was the football before the hallway? 
211,hallway,"Answer: In the
bedroom. Question: Where was the bed? Answer: In the kitchen",Where was the football before the kitchen? 
212,hallway,"Answer: In the
kitchen. Question: Where was the ball before the ball? Answer:",Where was the football before the kitchen? 
213,kitchen,"Answer: In the kitchen. Question: Where was the milk after the
kitchen? Answer:",Where was the milk before the garden? 
214,kitchen,"Answer: In the kitchen.

Question: Where was the milk before the bathroom?",Where was the milk before the bathroom? 
215,office,"Answer: In the hall.

Question: Where was the ball before the hall?",Where was the football before the hallway? 
216,hallway,"Answer: In the
kitchen. <context>

6th October, 1694.",Where was the apple before the bedroom? 
217,hallway,"Answer: In the kitchen.
Question: Where was the kitchen before the bedroom? Answer: In",Where was the apple before the bedroom? 
218,hallway,Answer: In the kitchen. Question: Where was the apple after the bedroom? Answer: In the,Where was the apple before the bedroom? 
219,kitchen,"Answer: In the kitchen.

Question: Where was the apple after the garden?",Where was the apple before the garden? 
220,bedroom,Answer: In the kitchen. Question: Where was the milk after the garden? Answer: In the,Where was the milk before the garden? 
221,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the garden?",Where was the milk before the garden? 
222,bedroom,"Answer: In the kitchen.

Question: Where was the milk after the garden? Answer:",Where was the milk before the garden? 
223,bedroom,"Answer: In the kitchen. Question: Where was the kitchen before the
house? Answer: In",Where was the milk before the office? 
224,bedroom,Answer: In the kitchen. Question: Where was the kitchen before the office? Answer: In the,Where was the milk before the office? 
225,bedroom,Answer: In the kitchen. Question: Where was the kitchen before the hall? Answer: In the,Where was the milk before the hallway? 
226,bedroom,Answer: In the kitchen. Question: Where was the milk before the kitchen? Answer: In the,Where was the milk before the hallway? 
227,bedroom,"Answer: In the kitchen.
Question: Where was the milk before the kitchen? Answer: In",Where was the milk before the hallway? 
228,hallway,Answer: In the room. Question: Where was the room before the bedroom? Answer: In the,Where was the apple before the bedroom? 
229,hallway,"Answer: In the
kitchen. Question: Where was the kitchen before the bedroom? Answer:",Where was the football before the bedroom? 
230,kitchen,"Answer: In the garden.

Question: Where was the apple before the garden? Answer:",Where was the apple before the garden? 
231,kitchen,Answer: In the garden. Question: Where was the garden before the apple? Answer: In the,Where was the apple before the garden? 
232,garden,"Answer: In the
carriage. Question: Where was the carriage before the bedroom? Answer:",Where was the football before the bedroom? 
233,hallway,Answer: In the kitchen. Question: Where was the milk after the kitchen? Answer: In the,Where was the milk before the kitchen? 
234,kitchen,Answer: In the kitchen. Question: Where was the milk after the hallway? Answer: In the,Where was the milk before the hallway? 
235,bedroom,"Answer: In the
milk-pail. Question: Where was the milk-pail",Where was the milk before the office? 
236,bedroom,"Answer: In the barn.

Question: Where was the milk after the office?",Where was the milk before the office? 
237,bedroom,"Answer: In the
kitchen. Question: Where was the kitchen before the office? Answer:",Where was the milk before the office? 
238,bedroom,Answer: In the kitchen. Question: Where was the milk after the office? Answer: In the,Where was the milk before the office? 
239,kitchen,"Answer: In the
bedroom. Question: Where was the bedroom before the football? Answer:",Where was the football before the bedroom? 
240,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the bedroom? Answer:",Where was the football before the bedroom? 
241,bathroom,Answer: In the kitchen. Question: Where was the kitchen before the bedroom? Answer: In the,Where was the football before the bedroom? 
242,bathroom,Answer: In the kitchen. Question: Where was the kitchen before the garden? Answer: In the,Where was the football before the garden? 
243,kitchen,"Answer: In the kitchen.

Question: Where was the milk before the garden?",Where was the milk before the garden? 
244,office,Answer: In the kitchen. Question: Where was the milk before the kitchen? Answer: In the,Where was the milk before the kitchen? 
245,bedroom,"Answer: The milk was shipped from the Transvaal.

Question: Where was",Where was the milk before the office? 
246,bedroom,"Answer: In the
kitchen. Question: Where was the milk before the office? Answer:",Where was the milk before the office? 
247,bedroom,"Answer: In the kitchen.

Question: Where was the milk before the office?",Where was the milk before the office? 
248,kitchen,Answer: In the kitchen. Question: Where was the kitchen before the garden? Answer: In the,Where was the milk before the garden? 
249,kitchen,"Answer: In the house of the
American. Question: Where was the milk after the garden?",Where was the milk before the garden? 
250,hallway,"Answer: In the
kitchen. Question: Where was the kitchen before the bathroom? Answer:",Where was the football before the bathroom? 
251,hallway,"Answer: In the
kitchen. Question: Where was the kitchen before the bathroom? Answer:",Where was the football before the bathroom? 
252,hallway,"<context>

Answer: In the garden. <context>

Question: Where was",Where was the football before the bathroom? 
253,bathroom,Answer: In the kitchen. Question: Where was the milk before the kitchen? Answer: In the,Where was the milk before the kitchen? 
254,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the hallway? Answer:",Where was the football before the hallway? 
255,bedroom,"Answer: In the garden.
Question: Where was the apple before the kitchen? Answer: In",Where was the apple before the kitchen? 
256,bathroom,Answer: In the kitchen. Question: Where was the apple before the kitchen? Answer: In the,Where was the apple before the hallway? 
257,bathroom,Answer: In the kitchen. Question: Where was the kitchen before the hall? Answer: In the,Where was the apple before the hallway? 
258,bathroom,"Answer: In the
kitchen. Question: Where was the kitchen before the hall? Answer:",Where was the apple before the hallway? 
259,bathroom,"Answer: In the
kitchen. Question: Where was the old squaw before the hallway?",Where was the apple before the hallway? 
260,hallway,"<context>

Answer: In the tree. <context>

""I am not",Where was the apple before the bathroom? 
261,office,"<context>

Answer: In the kitchen. <context>

Question: Where was",Where was the milk before the garden? 
262,bathroom,"Answer: In the
kitchen. Question: Where was the milk before the office? Answer:",Where was the milk before the office? 
263,bathroom,Answer: In the cellar. Question: Where was the milk after the office? Answer: In the,Where was the milk before the office? 
264,hallway,"Answer: In the
""little booke"" of the ""General Historie"" (1624",Where was the football before the bedroom? 
265,bathroom,"Answer: In the
kitchen. <context>

Question: Where was the milk after",Where was the milk before the office? 
266,bathroom,Answer: In the garden. Question: Where was the apple before the garden? Answer: In the,Where was the apple before the garden? 
267,bathroom,"Answer: In the garden. Why is the ""blessed"" tree the tree of life?",Where was the apple before the garden? 
268,bathroom,Answer: In the garden. Question: Where was the apple after the garden? Answer: In the,Where was the apple before the garden? 
269,garden,"Answer: In the
kitchen. Question: Where was the melodeon before the kitchen?",Where was the football before the hallway? 
270,garden,"Answer: In the
kitchen. Question: Where was the kitchen before the football? Answer:",Where was the football before the kitchen? 
