,target,output,question
82,Fred,"Answer: The <DW64>s.

Question: Who did the <DW",Who did Jeff give the milk to? 
83,milk,"""I would rather be myself, Harry West, and you, and all the rest of",What did Jeff give to Fred? 
84,Jeff,"Answer: The ""Santiago de Cuba"" was the first vessel to reach the ""V",Who gave the milk to Fred? 
85,Fred,"Answer: The man who was the
first to see her.


""The man who was",Who did Mary give the apple to? 
86,Fred,"Answer: Mary.

_August_ 14.--We have been here to-day",Who gave the apple to Mary? 
87,Mary,"Answer: The first person who ever gave an apple was the first man.

[",Who gave the apple? 
88,Jeff,Answer: The apple was given to her by the man who had the heart to give it,Who did Mary give the apple to? 
89,Jeff,"""I have a notion, my dear friend, that you are a little too quick in",Who received the football? 
90,football,"Answer: She gave him a kiss.

Question: What did she give him? Answer:",What did Mary give to Jeff? 
91,Mary,"Answer: The first man who came to the door of the house.




[Illustration",Who received the football? 
92,Mary,"Answer: The football was given to
the player who first caught it.

[Footnote 1",Who gave the football? 
93,Jeff,"Answer: The man who was to be her husband.

""I have been thinking",Who did Mary give the football to? 
94,Bill,"Answer: Who did she get it from?

Q: Who did she get it",Who did Fred give the apple to? 
95,Jeff,"Answer: ""Mary gave it to me.""

""Well, then, Mary gave",Who did Mary give the apple to? 
96,Mary,"Answer: Jeff.

Question: Who gave the apple to Jeff?
Answer: Jeff",Who gave the apple to Jeff? 
97,apple,"Answer: ""A little bit of a bit of a bit of a bit of a bit",What did Jeff give to Fred? 
98,Fred,"Answer: ""The King.""

[Illustration: ""The King.""]

[Illustration",Who did Jeff give the apple to? 
99,milk,"Answer: He gave her a hundred
thousand pounds. Question: What did she give him?",What did Bill give to Mary? 
100,Bill,"Answer: The Pope.

Question: Who gave the apple to the Pope?",Who did Mary give the apple to? 
101,Bill,"Answer: The man who had the apple.

""I'm not sure,"" said",Who received the apple? 
102,Fred,"Answer: The apple-woman.

Question: Who gave the apple?",Who gave the apple? 
103,Bill,"[Illustration: The apple]

[Illustration: The apple]

[Illustration",Who gave the apple? 
104,apple,"Answer: ""The Holy Sacrament.""

The question is, ""What did",What did Mary give to Bill? 
105,Jeff,"Answer: The milk was received by the farmer, and the farmer received the
milk",Who received the milk? 
106,Mary,"Answer: Mr. Blair.

""I have been thinking of you all the time",Who gave the milk? 
107,Jeff,"Answer: The milk was given to the children of the poor.




THE BOOK",Who did Mary give the milk to? 
108,football,"Answer: ""A piece of cloth, and a piece of money.""

[Illustration",What did Bill give to Mary? 
109,Mary,"Answer: The football was given to the boys.

[Illustration: THE BALL",Who gave the football? 
110,apple,"Answer: ""A good deal of money.""




CHAPTER XXII.

THE",What did Jeff give to Mary? 
111,apple,"Answer: ""A good many dollars.""

The following is a sketch of the life",What did Jeff give to Mary? 
112,Mary,"Answer: <DW53> and <DW53>s.

Question: Who gave the",Who gave the apple? 
113,Mary,"Answer: Who gave the apple?

Question: Who gave the apple?",Who gave the apple? 
114,Mary,"Answer: The apple was sent to the house of the man who had received the
apple",Who received the apple? 
115,Bill,"[Illustration]

[Illustration]

[Illustration]

[Illustration]",Who gave the milk? 
116,milk,"Answer: A crown.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
117,Bill,"Answer: The Midge.

Q. What is the Midge?",Who did Mary give the milk to? 
118,milk,"Answer: He gave her a little box of candy.

Question: What did she",What did Bill give to Mary? 
119,Mary,"Answer: The Bishop of Norwich.

Question: Who gave the milk to the Bishop of",Who did Bill give the milk to? 
120,milk,"Answer: She gave him a great deal of money, and a great deal of
good",What did Mary give to Bill? 
121,Mary,"Answer: Mrs. Clemens.

""What did she do with the milk?""",Who gave the milk? 
122,Mary,"Answers: ""The hens,"" ""the hens,"" ""the hens,"" ""the hens",Who gave the milk? 
123,Jeff,"Burt: Who did Bill give the football to?

Burt: Who did",Who did Bill give the football to? 
124,Bill,"""The Basutos were not consulted, and the Basutos were not consulted.",Who gave the football to Jeff? 
125,Jeff,"The answer was: ""The Mahdists.""

The question was: ""Who",Who received the football? 
126,Jeff,"[Illustration:

FOOTNOTES:

[Footnote 57: The first and",Who gave the football to Bill? 
127,football,"Answer: ""A little money,"" said the artist.

""What did he give",What did Jeff give to Bill? 
128,football,"Answer: He gave her a little book, and a little book was a little book.",What did Jeff give to Bill? 
129,apple,"Answer: ""A little money, and a promise to be careful.""

""What",What did Fred give to Mary? 
130,Bill,"Answer: The waiter.

Question: Who received the apple?

Answer:",Who received the apple? 
131,apple,"FOOTNOTES:

[1] The following is a translation of the original,",What did Mary give to Bill? 
132,apple,"Answer: A little white and green paper, with a little white and green
ink-",What did Mary give to Bill? 
133,apple,"Answer: ""A little money.""

""What did you do with it?""",What did Jeff give to Mary? 
134,Fred,"Answer: The kite. Answer: The kite was made
by a boy. Answer:",Who gave the apple? 
135,football,"Answer: A little money.

Question: What did he give to Benny? Answer:",What did Fred give to Jeff? 
136,football,"Answer: “A good deal of money.”

“What did you do with it",What did Fred give to Jeff? 
137,Jeff,"Answer: The football was given to me.

Question: Who gave the football?",Who gave the football? 
138,Fred,"Answer: The gentleman who was in the room.

Q. What was the gentleman",Who did Jeff give the football to? 
139,football,"Answer: A kiss.

""What did she give him?""

""A",What did Fred give to Mary? 
140,football,"Answer: He gave her a kiss.




THE END.




PRINTED BY",What did Jeff give to Mary? 
141,Mary,"Answer: Mr. J. R. Greenwell, of Tandridge, who bought",Who received the football? 
142,football,"Answer: She gave him a guinea.

Question: What did she give him?",What did Mary give to Jeff? 
143,Jeff,"Answer: The little old lady.

""I was in the habit of going to",Who gave the football? 
144,Bill,"Answer: The cook.

Question: What was the name of the cook?",Who received the apple? 
145,Fred,"Answer: The captain.

Question: Who gave the apple?

Answer:",Who received the apple? 
146,Fred,"The answer is, that the apple was a common article of food in the
Middle Ages",Who received the apple? 
147,Mary,"[Illustration: Plate XVII.]

THE BALL-DANCE.",Who did Bill give the football to? 
148,Bill,"Answer: The girl who died.

""But who gave the football to Mary? Answer:",Who gave the football to Mary? 
149,Fred,"Answer: The King of the country.

Question: Who was the first to enter the city",Who received the football? 
150,Bill,"Answer: The poet.


[Illustration: THE GARDEN OF THE HILLS.]",Who received the apple? 
151,Jeff,"Paine's first letter to his friend, John Adams, was written in
1802",Who gave the apple to Bill? 
152,Bill,"Answer: The old man.

Question: What did he do with it?",Who received the apple? 
153,Bill,"[77] The following is the text of the letter:

""The King of",Who gave the apple to Jeff? 
154,apple,"[Footnote 16: The following is a copy of the letter:

""MY DE",What did Bill give to Jeff? 
155,football,"_A._ She gave him a little of the milk of the cow.

_",What did Mary give to Bill? 
156,football,"Answer: She gave him a large, round, red, and swollen, and very",What did Mary give to Bill? 
157,Mary,"Answer: The man who was the first to make the game a matter of
nationality",Who did Bill give the football to? 
158,football,"Answer: ""A letter, which I have not yet opened. It is a long one",What did Bill give to Mary? 
159,Bill,"Answer: Mr. T.

""What did you do with the apple?""",Who received the apple? 
160,Bill,"""I will answer him, and then I will tell thee what I know of the matter",Who did Fred give the apple to? 
161,apple,"Answer: ""A good many things,"" he said. ""He's a good deal of",What did Fred give to Bill? 
162,apple,"Answer: He gave him a bottle of milk.

""The same day, Mr",What did Fred give to Bill? 
163,Fred,"Answer: The apple was given to Adam.

Question: Who gave the apple to",Who gave the apple? 
164,Jeff,"FOOTNOTES:

[87] The following is a translation of the following passage",Who received the apple? 
165,Jeff,"Answer: I.

""I was so excited that I did not notice that the apple was",Who received the apple? 
166,Jeff,"The answer is, “the apple-woman.”

The question is, “who",Who received the apple? 
167,Jeff,"Answer: The Rev. Craig.

Question: Who gave the apple?",Who received the apple? 
168,apple,"Answer: She gave him a good deal of money.

   Question: What did she",What did Mary give to Jeff? 
169,Bill,"Answer: I did.

Question: Who gave the milk to Fred?",Who gave the milk to Fred? 
170,football,"Answer: She gave him a kiss.

Question: What did she give him?",What did Mary give to Bill? 
171,Bill,"Answer: The man who had been out of work for a long time.

Question:",Who did Mary give the football to? 
172,football,"[Illustration: ""They were never paid by the hour for these jobs""]

[",What did Bill give to Mary? 
173,football,"Answer: ""A good deal of money.""




CHAPTER XIV.

THE",What did Bill give to Mary? 
174,Mary,"THE BALL


The ball, the ball, the ball!

The ball",Who did Bill give the football to? 
175,football,"Answer: ""A good many things.""


FOOTNOTES:

[1] The",What did Jeff give to Bill? 
176,football,"Answer: ""A little money.""

Question: What did Bill give to Mary?",What did Bill give to Mary? 
177,Mary,"Answer: The football was given to the school by the
school-master.",Who received the football? 
178,Bill,"Answer: The boy who played it.

Q. What was the name of the",Who gave the football? 
179,football,"Answer: ""A lock of her hair, and a lock of her handkerchief.""",What did Bill give to Fred? 
180,Fred,Answer: The same who gave the milk to the <DW64>s.,Who gave the milk to Jeff? 
181,milk,"Answer: ""A little money, my lord. I have not been able to get it",What did Jeff give to Mary? 
182,Mary,"Answer: The milk was received from the cows.

Question: Who gave the milk?",Who received the milk? 
183,Mary,"[Illustration: TEN DAYS OF SINGLE SCOUTS]

[",Who gave the milk? 
184,Fred,"Answer: ""The King."" Answer: ""The King is
the King of the King.""",Who received the milk? 
185,football,"Answer: ""A little money, and a few things that I had in my pocket.""",What did Mary give to Bill? 
186,football,"Answer: What did Bill give to Mary?

""I am not sure that I",What did Mary give to Bill? 
187,football,"Answer: A purse of gold. [1]


[1] The following is a translation",What did Mary give to Bill? 
188,Bill,"Answer: The Great Mother.

Question: Who gave the football?

Answer",Who gave the football? 
189,football,"Answer: He gave her a box of candy.

[Illustration: _The Story",What did Bill give to Mary? 
190,Fred,"Answer: The football was given to the King.

[Illustration: THE KING",Who gave the football? 
191,Fred,"Answer: The first person who saw the football was a man named John
B. B",Who gave the football to Jeff? 
192,football,"Answer: He gave him a good deal of money.

[Illustration: ""I",What did Fred give to Jeff? 
193,apple,"Answer: He gave him a horse.




THE STORY OF THE BEECH",What did Bill give to Fred? 
194,Bill,"Answer: The Judge.

""I think that the Judge is going to attack the",Who gave the apple to Fred? 
195,milk,_SCENE_--_The House of the King of the Belgians._,What did Mary give to Bill? 
196,Mary,"Answer: The monks.

[Illustration: _The Abbey of Tintern._]",Who gave the milk? 
197,Bill,"Answer: The _milk_ of the cow.

[Illustration: Fig.",Who gave the milk? 
198,milk,"Answer: ""A basket of tea.""

Question: What did Bill give to Mary? Answer",What did Bill give to Mary? 
199,Mary,"The answer is not difficult. The French Canadians were not the only
people who were in",Who gave the milk? 
200,milk,"Answer: He gave him a glass of water.

_The two men stand silent",What did Jeff give to Bill? 
201,milk,"Answer: He gave him a good dinner, and a good dinner is a good thing.",What did Jeff give to Bill? 
202,milk,"Answer: He gave her a little money.

Question: What did she give him",What did Jeff give to Bill? 
203,Mary,"Answer: The football was given to the University of Oxford by the
University of Cambridge.",Who gave the football? 
204,Fred,"Answer: The people of the Landesgemeinde of Trogen.

Question",Who did Mary give the football to? 
205,Fred,"[Illustration: The _Ständerath_ or House of Representatives.]

[Illustration",Who received the football? 
206,Fred,"Answer: The man who was the first to play it.

""The answer was",Who did Mary give the football to? 
207,Jeff,"Answer: ""I don't know. I'm not sure. I think it was a",Who did Fred give the football to? 
208,Fred,"Answer: The old man.

Question: Who gave the football to the old man",Who gave the football to Jeff? 
209,Jeff,"Answer: The boy.

Question: What was Fred doing?

Answer:",Who gave the football to Fred? 
210,Fred,"Answer: ""Barkis""

_July_ 4.--_July_ 5",Who gave the milk to Jeff? 
211,Fred,"Answer: The Captain.

Question: Who gave the bread?
Answer: The Captain",Who gave the milk? 
212,Jeff,"Answer: The King.

Question: Who gave the milk to the children?",Who gave the milk to Fred? 
213,Jeff,"Coningsby: I don't know.

Rigby: I don't",Who gave the milk to Fred? 
214,Fred,"Coningsby: The milk was given to the children.

Question: How did",Who gave the milk? 
215,Fred,"Answer: The conductor.

Question: Who gave the apple to Mary? Answer: The conductor",Who gave the apple to Mary? 
216,Mary,"Answer: The man who gave it.

Question: Who gave the apple?",Who received the apple? 
217,Bill,"Answer: Eileen.

Question: Who gave the apple?

Answer",Who received the apple? 
218,Mary,"Answer: The milk was given to the milk-woman.

Question: What was",Who did Fred give the milk to? 
219,Mary,"Answer: The father.





End of the Project Gutenberg EBook of The Three Brothers",Who gave the apple? 
220,Bill,"Answer: ""The apple was given to
Mary."" Answer: ""I don't know."" Question",Who gave the apple to Mary? 
221,Bill,"Answer: The man who gave it to her.

Question: Who gave the apple to her",Who gave the apple to Mary? 
222,Mary,"Answer: Bill.

Q: What did Bill do with it?
A: He",Who gave the apple to Bill? 
223,Bill,"Answer: The first person who
saw it.

Q. What is the difference between the",Who did Mary give the apple to? 
224,apple,"Answer: ""Money.""

""What did Bill give to Mary?""

""",What did Bill give to Mary? 
225,football,"Answer: He gave him a piece of bread.

Question: What did he do with",What did Jeff give to Fred? 
226,Jeff,"The answer is:

""Fred, who was a boy of the city, was",Who gave the football to Fred? 
227,football,"Answer: ""He gave me a good deal of money.""

""What did he",What did Jeff give to Fred? 
228,football,"Answer: He gave him a good dinner, and a good dinner is a good dinner.",What did Jeff give to Fred? 
229,football,"""I give him a kiss,"" said the voice, ""and a kiss from the hand",What did Jeff give to Fred? 
230,apple,"Answer: He gave him a purse, and a pair of gloves, and a pair of",What did Fred give to Bill? 
231,Bill,"Answer: Fred gave the apple to the farmer.




CHAPTER III.

THE",Who did Fred give the apple to? 
232,Fred,"Answer: The man who was the first to
give it to the children.




CHAPTER XX",Who gave the apple to Bill? 
233,Fred,"""I was not so sure of the apple, nor so sure of myself, as to",Who gave the apple to Bill? 
234,Fred,"Answer: The apple was given to the boy.

[Illustration: The apple was",Who gave the apple? 
235,Bill,"Answer: Paine.

[Illustration: Paine's Letter to the Secretary of State",Who gave the football to Mary? 
236,Bill,"[Illustration:

[Illustration:

[Illustration:

[Illustration:",Who gave the football? 
237,football,"Answer: ""A little bit of bread and a little bit of butter.""




THE",What did Bill give to Mary? 
238,Bill,"Answer: The game was played in the olden time, when the game was played",Who gave the football to Mary? 
239,Bill,"Answer: Mr. John Smith.

Question: Who gave the football?",Who gave the football? 
240,Fred,"Answer: Bill.

""I'm going to have a little talk with you,""",Who gave the football to Bill? 
241,Fred,"Answer: Mr P. P.

Question: Who gave the football?",Who gave the football? 
242,Fred,"Answer: Bill.

""What did Bill do?""

Answer: He ran",Who gave the football to Bill? 
243,Bill,"Answer: The first person who ever planted a football in the United States.

[",Who gave the football to Fred? 
244,football,"Answer: A little bit of a book.




[Illustration: The Story of the",What did Bill give to Fred? 
245,football,"Answer: ""A little money, my child, and a little money is a great deal",What did Jeff give to Mary? 
246,Mary,"_Moral._

The Bishop's Examining Chaplain, in the Ord",Who gave the football? 
247,Mary,"Answer: The football.

Question: Who gave the football?

Answer:",Who gave the football? 
248,Bill,"Answer: The Marquis of Hartington.

The Marquis of Hartington was",Who gave the apple? 
249,Mary,"Answers: Bill, Bill, Bill.

""Bill,"" said the Omn",Who gave the apple to Bill? 
250,apple,"Answer: ""A little bit of bread and a little bit of butter.""

[",What did Mary give to Fred? 
251,Fred,"Answer: The apple was given to him.

Question: Who gave him the apple?",Who received the apple? 
252,Mary,"Answer: The apple-tree.

Question: Who gave the apple?",Who gave the apple? 
253,Jeff,"Answer: The mole.

[Illustration: The mole received the apple.]",Who received the apple? 
254,apple,"Answer: ""He told him that he had been a spy, and that he had been",What did Fred give to Jeff? 
255,Fred,"Answer: The milk-woman.

""What is the name of the man who",Who received the milk? 
256,Jeff,"""I have been thinking about it all the morning, and I have decided that
I",Who gave the milk to Fred? 
257,Jeff,"Answer: The Romans.

[166] The name of the temple is given in the",Who gave the milk? 
258,football,"[Illustration: Fig. 1.

_A._ The church of the Apostles",What did Bill give to Mary? 
259,Mary,"Answer: The milk was given to the cow.




CHAPTER XVII.",Who did Fred give the milk to? 
260,Jeff,"Answer: Mary gave it to me.

Question: Who gave the apple to Mary",Who gave the apple to Mary? 
261,Fred,"Answer: The man who was the father of the child.




THE BOOK OF",Who gave the apple to Mary? 
262,Mary,"Answer: The apple was given to the tree.

Question: Who gave the apple",Who gave the apple? 
263,apple,[Illustration: The Dining-room of the D.G.S.,What did Mary give to Bill? 
264,apple,"Amy: A little book.

Bill: A book?

Amy",What did Mary give to Bill? 
265,football,"Answer: A good many things.

""He gave him a good many things,",What did Fred give to Bill? 
266,Fred,"Answer: The President.

""The President is the President of the United States,",Who gave the football? 
267,Fred,"Paine: I don't know.

Question: What did he give it to",Who gave the football to Bill? 
268,Mary,"Answer: The King.

Question: Who gave the ball to the King?",Who did Bill give the football to? 
269,Mary,"Answer: The King.

Question: Who gave the ball?

Answer:",Who gave the football? 
270,Mary,"Answer: The Romans.

[Illustration: Fig. 1.

_A",Who received the apple? 
271,Mary,"[Illustration: Fig. 1.

Tomb of the King of the Jews,",Who gave the apple? 
272,apple,"Answer: She gave him a little box of candy.




THE STORY OF THE",What did Mary give to Jeff? 
273,Bill,"[Footnote: The first of the three, the first of the three, the first",Who gave the apple to Jeff? 
274,apple,"Answer: He gave him a kajang, a small piece of bread. [40",What did Jeff give to Fred? 
275,Mary,"Answer: Mrs. Branard.

Question: What was the name of the person",Who received the football? 
276,Mary,"Answer: The Inquisitor General.

Question: Who received the football?",Who received the football? 
277,football,"[The following is a translation of the reply of the Duc d'Orleans: """,What did Mary give to Jeff? 
278,Mary,"Answer: ""The boy who was in the gym with me.""




THE BOOK",Who did Jeff give the football to? 
279,Mary,"Answer: The King of the King.

[Illustration: [Illustration: [Illustration",Who received the football? 
280,Fred,"[Illustration:

[Illustration:

[Illustration:

[Illustration:",Who gave the apple? 
281,apple,"Answer: A man of much was expected of him.




THE STORY OF THE",What did Mary give to Fred? 
282,Fred,"Answer: The apple was given to Mary.




[Illustration: THE STORY OF",Who gave the apple to Mary? 
283,Fred,"Answer: The first man.

Question: Who was the first man?
Answer:",Who received the apple? 
284,apple,"Answer: ""A little money."" ""What did she give you?"" ""A little
money.""",What did Fred give to Mary? 
285,Fred,"Answer: The man who had the apple.

Question: Who gave the apple?",Who gave the apple? 
286,Fred,"Answer: The man who had the apple.

""I'm glad you're here",Who gave the apple to Bill? 
287,Fred,"Answer: The apple was given to Bill.




[Illustration: GINGKgo",Who gave the apple to Bill? 
288,apple,"Answer: ""A little money, and a little promise of a place in the
hospital",What did Fred give to Bill? 
289,Bill,"Answer: The Supreme Court of Illinois.

The Supreme Court of Illinois decided that the",Who gave the apple to Mary? 
290,Mary,"[54]

[55]

[56]

[57]",Who gave the milk to Bill? 
291,Bill,"Answer: The Mayor.

Q. What was the name of the place?",Who gave the milk? 
292,Mary,"Answer: The milk was sent to the house.

""Well, I'll be",Who gave the milk to Bill? 
293,Bill,"Answer: The Great Spirit.

Question: Who gave the milk to the children? Answer:",Who did Mary give the milk to? 
294,apple,"Answer: A book of the plays of Elizabethan England.

Q. What is",What did Jeff give to Fred? 
295,milk,"Answer: ""A little bit of a piece of bread and butter, and a little bit",What did Mary give to Jeff? 
296,Mary,"Answer: The King of the island of Delft.

Question: Who gave the",Who gave the milk? 
297,milk,"Answer: A horse. CANTO THIRD.--The
knight is in a quandary",What did Mary give to Jeff? 
298,milk,"""The King's daughter, Mary,
    The Queen of Scotland,
    The",What did Mary give to Jeff? 
299,Bill,"Answer: The milk was given to the woman who had the baby.

Question:",Who gave the milk to Jeff? 
300,football,"[Illustration: The following is a translation of the following
passage from the Autobi",What did Mary give to Fred? 
301,Fred,"Answer: Mary gave it to her brother, who was a great favourite of
herself",Who did Mary give the football to? 
302,Mary,[294] The following is a copy of the original plan of the church of St.,Who gave the football to Fred? 
303,Mary,"Answer: The man who was to be your father's successor.

Question: Who",Who did Fred give the apple to? 
304,Fred,"[Illustration: THE GRAVE OF SENHORN.]


[Illustration:",Who gave the apple to Mary? 
305,Jeff,"Answer: The Lord.

Question: Who gave the apple to Mary?",Who gave the apple to Mary? 
306,Mary,"Answer: Who did he give it to?

Question: Who did he give it",Who did Jeff give the apple to? 
307,milk,"Ruby: A pair of shoes.

Bluebell: A pair of shoes.",What did Mary give to Fred? 
308,Fred,"Cyril had no answer ready. He was
conscious of a vague feeling of uneasiness",Who did Mary give the milk to? 
309,Fred,"Answer: M. Tripeaud.

Question: Who sent the milk?",Who received the milk? 
310,Mary,"A: Bill.

Q: Who gave the football to Bill?

A",Who gave the football to Bill? 
311,Bill,"Answer: Who gave the football?

“I’ll tell you what I’",Who gave the football? 
312,football,"Answer: “A little bit of a present, I guess.”

“What did",What did Bill give to Mary? 
313,apple,"Answer: He gave her a goodly sum of money, and a goodly sum of",What did Bill give to Mary? 
314,Bill,"Answer: Mrs. M‘Laren.

Question: What was the name of",Who did Jeff give the football to? 
315,milk,"Answer: ""A good many things, and a good many things that he didn't give",What did Jeff give to Bill? 
